index,Unnamed: 0,trial_id,start_time,end_time,move_onset_time,split,trial_type,trial_version,maze_id,success,target_on_time,go_cue_time,rt,delay,num_targets,target_pos,num_barriers,barrier_pos,active_target
2090,2090,2090,0 days 01:24:21.900000,0 days 01:24:24.686000,0 days 01:24:23.628000,train,1.0,0.0,1.0,True,0 days 01:24:22.646000,0 days 01:24:23.377000,251.0,731.0,1.0,[[111  85]],0.0,[],0.0
2286,2286,2286,0 days 01:34:06.500000,0 days 01:34:09.281000,0 days 01:34:08.177000,train,1.0,0.0,1.0,True,0 days 01:34:07.379000,0 days 01:34:07.894000,283.0,515.0,1.0,[[111  85]],0.0,[],0.0
2312,2312,2312,0 days 01:35:23.500000,0 days 01:35:26.081000,0 days 01:35:24.974000,train,1.0,0.0,1.0,True,0 days 01:35:24.452000,0 days 01:35:24.683000,291.0,231.0,1.0,[[111  85]],0.0,[],0.0
2532,2532,2532,0 days 01:46:29.600000,0 days 01:46:31.931000,0 days 01:46:30.926000,train,1.0,0.0,1.0,True,0 days 01:46:30.334000,0 days 01:46:30.649000,277.0,315.0,1.0,[[111  85]],0.0,[],0.0
2573,2573,2573,0 days 01:48:32.300000,0 days 01:48:35.276000,0 days 01:48:34.244000,val,1.0,0.0,1.0,True,0 days 01:48:33.238000,0 days 01:48:33.953000,291.0,715.0,1.0,[[111  85]],0.0,[],0.0
2578,2578,2578,0 days 01:48:47,0 days 01:48:49.466000,0 days 01:48:48.447000,train,1.0,0.0,1.0,True,0 days 01:48:47.800000,0 days 01:48:48.165000,282.0,365.0,1.0,[[111  85]],0.0,[],0.0
2754,2754,2754,0 days 01:57:36.900000,0 days 01:57:39.626000,0 days 01:57:38.618000,train,1.0,0.0,1.0,True,0 days 01:57:37.818000,0 days 01:57:38.317000,301.0,499.0,1.0,[[111  85]],0.0,[],0.0
753,753,753,0 days 00:16:51.200000,0 days 00:16:54.101000,0 days 00:16:52.997000,train,2.0,0.0,2.0,True,0 days 00:16:52.131000,0 days 00:16:52.695000,302.0,564.0,1.0,[[133 -80]],0.0,[],0.0
885,885,885,0 days 00:23:36.700000,0 days 00:23:39.356000,0 days 00:23:38.359000,train,2.0,0.0,2.0,True,0 days 00:23:37.354000,0 days 00:23:38.102000,257.0,748.0,1.0,[[133 -80]],0.0,[],0.0
966,966,966,0 days 00:27:43.600000,0 days 00:27:46.966000,0 days 00:27:45.946000,train,2.0,0.0,2.0,True,0 days 00:27:44.541000,0 days 00:27:45.489000,457.0,948.0,1.0,[[133 -80]],0.0,[],0.0
1101,1101,1101,0 days 00:34:36.500000,0 days 00:34:39.051000,0 days 00:34:38.024000,val,2.0,0.0,2.0,True,0 days 00:34:37.175000,0 days 00:34:37.706000,318.0,531.0,1.0,[[133 -80]],0.0,[],0.0
1165,1165,1165,0 days 00:37:51.600000,0 days 00:37:54.761000,0 days 00:37:53.652000,train,2.0,0.0,2.0,True,0 days 00:37:52.417000,0 days 00:37:53.382000,270.0,965.0,1.0,[[133 -80]],0.0,[],0.0
1214,1214,1214,0 days 00:40:17.700000,0 days 00:40:20.441000,0 days 00:40:19.440000,train,2.0,0.0,2.0,True,0 days 00:40:18.560000,0 days 00:40:19.158000,282.0,598.0,1.0,[[133 -80]],0.0,[],0.0
1272,1272,1272,0 days 00:43:15,0 days 00:43:18.156000,0 days 00:43:17.082000,train,2.0,0.0,2.0,True,0 days 00:43:15.822000,0 days 00:43:16.670000,412.0,848.0,1.0,[[133 -80]],0.0,[],0.0
1316,1316,1316,0 days 00:45:25.400000,0 days 00:45:27.976000,0 days 00:45:26.948000,train,2.0,0.0,2.0,True,0 days 00:45:26.052000,0 days 00:45:26.684000,264.0,632.0,1.0,[[133 -80]],0.0,[],0.0
1465,1465,1465,0 days 00:52:56.700000,0 days 00:52:59.566000,0 days 00:52:58.492000,val,2.0,0.0,2.0,True,0 days 00:52:57.533000,0 days 00:52:58.232000,260.0,699.0,1.0,[[133 -80]],0.0,[],0.0
1574,1574,1574,0 days 00:58:28.100000,0 days 00:58:30.156000,0 days 00:58:29.136000,train,2.0,0.0,2.0,True,0 days 00:58:28.810000,0 days 00:58:28.807000,329.0,-3.0,1.0,[[133 -80]],0.0,[],0.0
2071,2071,2071,0 days 01:23:24.600000,0 days 01:23:27.406000,0 days 01:23:26.403000,val,2.0,0.0,2.0,True,0 days 01:23:25.284000,0 days 01:23:26.099000,304.0,815.0,1.0,[[133 -80]],0.0,[],0.0
2102,2102,2102,0 days 01:24:58,0 days 01:25:00.796000,0 days 01:24:59.761000,train,2.0,0.0,2.0,True,0 days 01:24:58.785000,0 days 01:24:59.500000,261.0,715.0,1.0,[[133 -80]],0.0,[],0.0
2188,2188,2188,0 days 01:29:14.500000,0 days 01:29:17.531000,0 days 01:29:16.502000,train,2.0,0.0,2.0,True,0 days 01:29:15.332000,0 days 01:29:16.230000,272.0,898.0,1.0,[[133 -80]],0.0,[],0.0
2303,2303,2303,0 days 01:34:55.700000,0 days 01:34:58.751000,0 days 01:34:57.682000,train,2.0,0.0,2.0,True,0 days 01:34:56.505000,0 days 01:34:57.404000,278.0,899.0,1.0,[[133 -80]],0.0,[],0.0
2378,2378,2378,0 days 01:38:42.600000,0 days 01:38:45.771000,0 days 01:38:44.664000,val,2.0,0.0,2.0,True,0 days 01:38:43.528000,0 days 01:38:44.260000,404.0,732.0,1.0,[[133 -80]],0.0,[],0.0
2404,2404,2404,0 days 01:40:00.400000,0 days 01:40:03.446000,0 days 01:40:02.380000,train,2.0,0.0,2.0,True,0 days 01:40:01.322000,0 days 01:40:02.087000,293.0,765.0,1.0,[[133 -80]],0.0,[],0.0
2737,2737,2737,0 days 01:56:45.200000,0 days 01:56:48.251000,0 days 01:56:47.146000,train,2.0,0.0,2.0,True,0 days 01:56:45.957000,0 days 01:56:46.872000,274.0,915.0,1.0,[[133 -80]],0.0,[],0.0
2845,2845,2845,0 days 02:02:16.900000,0 days 02:02:19.811000,0 days 02:02:18.733000,train,2.0,0.0,2.0,True,0 days 02:02:17.665000,0 days 02:02:18.380000,353.0,715.0,1.0,[[133 -80]],0.0,[],0.0
672,672,672,0 days 00:12:42.900000,0 days 00:12:46.006000,0 days 00:12:44.956000,train,3.0,0.0,3.0,True,0 days 00:12:43.736000,0 days 00:12:44.668000,288.0,932.0,1.0,[[-116   -5]],0.0,[],0.0
738,738,738,0 days 00:16:06.300000,0 days 00:16:09.191000,0 days 00:16:08.214000,train,3.0,0.0,3.0,True,0 days 00:16:07.016000,0 days 00:16:07.881000,333.0,865.0,1.0,[[-116   -5]],0.0,[],0.0
834,834,834,0 days 00:21:01.500000,0 days 00:21:03.826000,0 days 00:21:02.755000,train,3.0,0.0,3.0,True,0 days 00:21:02.226000,0 days 00:21:02.374000,381.0,148.0,1.0,[[-116   -5]],0.0,[],0.0
867,867,867,0 days 00:22:39.300000,0 days 00:22:42.546000,0 days 00:22:41.462000,train,3.0,0.0,3.0,True,0 days 00:22:40.238000,0 days 00:22:41.103000,359.0,865.0,1.0,[[-116   -5]],0.0,[],0.0
900,900,900,0 days 00:24:20.500000,0 days 00:24:22.831000,0 days 00:24:21.826000,val,3.0,0.0,3.0,True,0 days 00:24:21.381000,0 days 00:24:21.546000,280.0,165.0,1.0,[[-116   -5]],0.0,[],0.0
937,937,937,0 days 00:26:12.300000,0 days 00:26:15.126000,0 days 00:26:14.064000,val,3.0,0.0,3.0,True,0 days 00:26:13.127000,0 days 00:26:13.742000,322.0,615.0,1.0,[[-116   -5]],0.0,[],0.0
1162,1162,1162,0 days 00:37:41.900000,0 days 00:37:45.011000,0 days 00:37:43.925000,train,3.0,0.0,3.0,True,0 days 00:37:42.650000,0 days 00:37:43.581000,344.0,931.0,1.0,[[-116   -5]],0.0,[],0.0
1184,1184,1184,0 days 00:38:48.300000,0 days 00:38:50.831000,0 days 00:38:49.832000,train,3.0,0.0,3.0,True,0 days 00:38:49.089000,0 days 00:38:49.554000,278.0,465.0,1.0,[[-116   -5]],0.0,[],0.0
1197,1197,1197,0 days 00:39:27.100000,0 days 00:39:30.091000,0 days 00:39:29.012000,val,3.0,0.0,3.0,True,0 days 00:39:27.913000,0 days 00:39:28.695000,317.0,782.0,1.0,[[-116   -5]],0.0,[],0.0
1243,1243,1243,0 days 00:41:47.900000,0 days 00:41:50.766000,0 days 00:41:49.721000,train,3.0,0.0,3.0,True,0 days 00:41:48.589000,0 days 00:41:49.437000,284.0,848.0,1.0,[[-116   -5]],0.0,[],0.0
1256,1256,1256,0 days 00:42:28.700000,0 days 00:42:31.311000,0 days 00:42:30.257000,train,3.0,0.0,3.0,True,0 days 00:42:29.397000,0 days 00:42:29.962000,295.0,565.0,1.0,[[-116   -5]],0.0,[],0.0
1257,1257,1257,0 days 00:42:31.400000,0 days 00:42:34.406000,0 days 00:42:33.368000,train,3.0,0.0,3.0,True,0 days 00:42:32.154000,0 days 00:42:33.053000,315.0,899.0,1.0,[[-116   -5]],0.0,[],0.0
1470,1470,1470,0 days 00:53:11.100000,0 days 00:53:14.081000,0 days 00:53:13.049000,train,3.0,0.0,3.0,True,0 days 00:53:12.009000,0 days 00:53:12.740000,309.0,731.0,1.0,[[-116   -5]],0.0,[],0.0
1501,1501,1501,0 days 00:54:42.100000,0 days 00:54:45.061000,0 days 00:54:44.053000,val,3.0,0.0,3.0,True,0 days 00:54:42.829000,0 days 00:54:43.761000,292.0,932.0,1.0,[[-116   -5]],0.0,[],0.0
1989,1989,1989,0 days 01:19:19.200000,0 days 01:19:22.211000,0 days 01:19:21.123000,train,3.0,0.0,3.0,True,0 days 01:19:19.925000,0 days 01:19:20.790000,333.0,865.0,1.0,[[-116   -5]],0.0,[],0.0
2214,2214,2214,0 days 01:30:33,0 days 01:30:36.006000,0 days 01:30:34.935000,train,3.0,0.0,3.0,True,0 days 01:30:33.743000,0 days 01:30:34.575000,360.0,832.0,1.0,[[-116   -5]],0.0,[],0.0
2224,2224,2224,0 days 01:31:02.600000,0 days 01:31:05.171000,0 days 01:31:04.151000,val,3.0,0.0,3.0,True,0 days 01:31:03.409000,0 days 01:31:03.857000,294.0,448.0,1.0,[[-116   -5]],0.0,[],0.0
2342,2342,2342,0 days 01:36:53.900000,0 days 01:36:56.626000,0 days 01:36:55.612000,train,3.0,0.0,3.0,True,0 days 01:36:54.671000,0 days 01:36:55.336000,276.0,665.0,1.0,[[-116   -5]],0.0,[],0.0
2463,2463,2463,0 days 01:43:01.500000,0 days 01:43:04.106000,0 days 01:43:03.119000,train,3.0,0.0,3.0,True,0 days 01:43:02.282000,0 days 01:43:02.813000,306.0,531.0,1.0,[[-116   -5]],0.0,[],0.0
2549,2549,2549,0 days 01:47:18.600000,0 days 01:47:21.276000,0 days 01:47:20.173000,train,3.0,0.0,3.0,True,0 days 01:47:19.300000,0 days 01:47:19.865000,308.0,565.0,1.0,[[-116   -5]],0.0,[],0.0
2592,2592,2592,0 days 01:49:27.100000,0 days 01:49:30.221000,0 days 01:49:29.138000,train,3.0,0.0,3.0,True,0 days 01:49:27.945000,0 days 01:49:28.777000,361.0,832.0,1.0,[[-116   -5]],0.0,[],0.0
2594,2594,2594,0 days 01:49:32.900000,0 days 01:49:36.056000,0 days 01:49:35.028000,train,3.0,0.0,3.0,True,0 days 01:49:33.851000,0 days 01:49:34.632000,396.0,781.0,1.0,[[-116   -5]],0.0,[],0.0
675,675,675,0 days 00:12:52.300000,0 days 00:12:54.556000,0 days 00:12:53.538000,train,5.0,0.0,5.0,True,0 days 00:12:53.242000,0 days 00:12:53.273000,265.0,31.0,1.0,[[132  46]],0.0,[],0.0
703,703,703,0 days 00:14:19.200000,0 days 00:14:21.876000,0 days 00:14:20.848000,train,5.0,0.0,5.0,True,0 days 00:14:20.102000,0 days 00:14:20.566000,282.0,464.0,1.0,[[132  46]],0.0,[],0.0
720,720,720,0 days 00:15:11,0 days 00:15:14.151000,0 days 00:15:13.096000,val,5.0,0.0,5.0,True,0 days 00:15:11.860000,0 days 00:15:12.708000,388.0,848.0,1.0,[[132  46]],0.0,[],0.0
757,757,757,0 days 00:17:03.200000,0 days 00:17:05.936000,0 days 00:17:04.867000,train,5.0,0.0,5.0,True,0 days 00:17:04.002000,0 days 00:17:04.600000,267.0,598.0,1.0,[[132  46]],0.0,[],0.0
786,786,786,0 days 00:18:33,0 days 00:18:35.751000,0 days 00:18:34.642000,train,5.0,0.0,5.0,True,0 days 00:18:33.750000,0 days 00:18:34.332000,310.0,582.0,1.0,[[132  46]],0.0,[],0.0
936,936,936,0 days 00:26:09.300000,0 days 00:26:12.226000,0 days 00:26:11.148000,val,5.0,0.0,5.0,True,0 days 00:26:10.188000,0 days 00:26:10.753000,395.0,565.0,1.0,[[132  46]],0.0,[],0.0
1028,1028,1028,0 days 00:30:53.900000,0 days 00:30:56.976000,0 days 00:30:55.897000,train,5.0,0.0,5.0,True,0 days 00:30:54.624000,0 days 00:30:55.589000,308.0,965.0,1.0,[[132  46]],0.0,[],0.0
1262,1262,1262,0 days 00:42:46.500000,0 days 00:42:49.301000,0 days 00:42:48.201000,train,5.0,0.0,5.0,True,0 days 00:42:47.223000,0 days 00:42:47.955000,246.0,732.0,1.0,[[132  46]],0.0,[],0.0
1305,1305,1305,0 days 00:44:53.300000,0 days 00:44:56.486000,0 days 00:44:55.280000,val,5.0,0.0,5.0,True,0 days 00:44:54.082000,0 days 00:44:54.947000,333.0,865.0,1.0,[[132  46]],0.0,[],0.0
1454,1454,1454,0 days 00:52:21.600000,0 days 00:52:24.781000,0 days 00:52:23.755000,train,5.0,0.0,5.0,True,0 days 00:52:22.505000,0 days 00:52:23.470000,285.0,965.0,1.0,[[132  46]],0.0,[],0.0
1496,1496,1496,0 days 00:54:26.100000,0 days 00:54:29.066000,0 days 00:54:28.010000,train,5.0,0.0,5.0,True,0 days 00:54:26.779000,0 days 00:54:27.761000,249.0,982.0,1.0,[[132  46]],0.0,[],0.0
1570,1570,1570,0 days 00:58:16,0 days 00:58:18.846000,0 days 00:58:17.749000,train,5.0,0.0,5.0,True,0 days 00:58:16.732000,0 days 00:58:17.381000,368.0,649.0,1.0,[[132  46]],0.0,[],0.0
1625,1625,1625,0 days 01:00:58.400000,0 days 01:01:01.211000,0 days 01:01:00.178000,train,5.0,0.0,5.0,True,0 days 01:00:59.326000,0 days 01:00:59.924000,254.0,598.0,1.0,[[132  46]],0.0,[],0.0
1662,1662,1662,0 days 01:02:46.800000,0 days 01:02:49.541000,0 days 01:02:48.461000,val,5.0,0.0,5.0,True,0 days 01:02:47.478000,0 days 01:02:48.176000,285.0,698.0,1.0,[[132  46]],0.0,[],0.0
2025,2025,2025,0 days 01:21:04.800000,0 days 01:21:07.511000,0 days 01:21:06.467000,train,5.0,0.0,5.0,True,0 days 01:21:05.484000,0 days 01:21:06.133000,334.0,649.0,1.0,[[132  46]],0.0,[],0.0
2081,2081,2081,0 days 01:23:53.900000,0 days 01:23:56.611000,0 days 01:23:55.624000,train,5.0,0.0,5.0,True,0 days 01:23:54.683000,0 days 01:23:55.331000,293.0,648.0,1.0,[[132  46]],0.0,[],0.0
2206,2206,2206,0 days 01:30:08.800000,0 days 01:30:11.806000,0 days 01:30:10.694000,train,5.0,0.0,5.0,True,0 days 01:30:09.716000,0 days 01:30:10.364000,330.0,648.0,1.0,[[132  46]],0.0,[],0.0
2287,2287,2287,0 days 01:34:09.300000,0 days 01:34:12.171000,0 days 01:34:11.133000,val,5.0,0.0,5.0,True,0 days 01:34:10.171000,0 days 01:34:10.886000,247.0,715.0,1.0,[[132  46]],0.0,[],0.0
2321,2321,2321,0 days 01:35:51.900000,0 days 01:35:54.536000,0 days 01:35:53.545000,train,5.0,0.0,5.0,True,0 days 01:35:52.763000,0 days 01:35:53.311000,234.0,548.0,1.0,[[132  46]],0.0,[],0.0
2326,2326,2326,0 days 01:36:05.500000,0 days 01:36:08.526000,0 days 01:36:07.442000,train,5.0,0.0,5.0,True,0 days 01:36:06.158000,0 days 01:36:07.107000,335.0,949.0,1.0,[[132  46]],0.0,[],0.0
2667,2667,2667,0 days 01:53:12.200000,0 days 01:53:15.176000,0 days 01:53:14.139000,val,5.0,0.0,5.0,True,0 days 01:53:13.011000,0 days 01:53:13.876000,263.0,865.0,1.0,[[132  46]],0.0,[],0.0
2710,2710,2710,0 days 01:55:23.800000,0 days 01:55:26.266000,0 days 01:55:25.257000,train,5.0,0.0,5.0,True,0 days 01:55:24.487000,0 days 01:55:24.935000,322.0,448.0,1.0,[[132  46]],0.0,[],0.0
745,745,745,0 days 00:16:26.400000,0 days 00:16:29.006000,0 days 00:16:28.036000,train,6.0,0.0,6.0,True,0 days 00:16:27.164000,0 days 00:16:27.729000,307.0,565.0,1.0,[[-116  -77]],0.0,[],0.0
768,768,768,0 days 00:17:37.500000,0 days 00:17:40.811000,0 days 00:17:39.752000,train,6.0,0.0,6.0,True,0 days 00:17:38.405000,0 days 00:17:39.087000,665.0,682.0,1.0,[[-116  -77]],0.0,[],0.0
822,822,822,0 days 00:20:25.200000,0 days 00:20:28.356000,0 days 00:20:27.241000,train,6.0,0.0,6.0,True,0 days 00:20:25.960000,0 days 00:20:26.925000,316.0,965.0,1.0,[[-116  -77]],0.0,[],0.0
1061,1061,1061,0 days 00:32:34.800000,0 days 00:32:37.756000,0 days 00:32:36.719000,train,6.0,0.0,6.0,True,0 days 00:32:35.531000,0 days 00:32:36.379000,340.0,848.0,1.0,[[-116  -77]],0.0,[],0.0
1075,1075,1075,0 days 00:33:16.100000,0 days 00:33:18.266000,0 days 00:33:17.223000,train,6.0,0.0,6.0,True,0 days 00:33:16.904000,0 days 00:33:16.951000,272.0,47.0,1.0,[[-116  -77]],0.0,[],0.0
1144,1144,1144,0 days 00:36:46.200000,0 days 00:36:49.446000,0 days 00:36:48.298000,train,6.0,0.0,6.0,True,0 days 00:36:47.115000,0 days 00:36:47.913000,385.0,798.0,1.0,[[-116  -77]],0.0,[],0.0
1327,1327,1327,0 days 00:45:58.600000,0 days 00:46:01.026000,0 days 00:46:00.054000,train,6.0,0.0,6.0,True,0 days 00:45:59.359000,0 days 00:45:59.757000,297.0,398.0,1.0,[[-116  -77]],0.0,[],0.0
1417,1417,1417,0 days 00:50:29.500000,0 days 00:50:32.661000,0 days 00:50:31.580000,val,6.0,0.0,6.0,True,0 days 00:50:30.290000,0 days 00:50:31.271000,309.0,981.0,1.0,[[-116  -77]],0.0,[],0.0
1483,1483,1483,0 days 00:53:50.300000,0 days 00:53:53.286000,0 days 00:53:52.242000,val,6.0,0.0,6.0,True,0 days 00:53:51.012000,0 days 00:53:51.944000,298.0,932.0,1.0,[[-116  -77]],0.0,[],0.0
1842,1842,1842,0 days 01:11:52.900000,0 days 01:11:55.901000,0 days 01:11:54.785000,train,6.0,0.0,6.0,True,0 days 01:11:53.713000,0 days 01:11:54.511000,274.0,798.0,1.0,[[-116  -77]],0.0,[],0.0
1845,1845,1845,0 days 01:12:01.200000,0 days 01:12:03.911000,0 days 01:12:02.861000,val,6.0,0.0,6.0,True,0 days 01:12:01.859000,0 days 01:12:02.524000,337.0,665.0,1.0,[[-116  -77]],0.0,[],0.0
1878,1878,1878,0 days 01:13:44.100000,0 days 01:13:46.921000,0 days 01:13:45.885000,train,6.0,0.0,6.0,True,0 days 01:13:44.907000,0 days 01:13:45.589000,296.0,682.0,1.0,[[-116  -77]],0.0,[],0.0
1939,1939,1939,0 days 01:16:49.900000,0 days 01:16:52.696000,0 days 01:16:51.634000,val,6.0,0.0,6.0,True,0 days 01:16:50.669000,0 days 01:16:51.283000,351.0,614.0,1.0,[[-116  -77]],0.0,[],0.0
1967,1967,1967,0 days 01:18:10.400000,0 days 01:18:13.291000,0 days 01:18:12.132000,train,6.0,0.0,6.0,True,0 days 01:18:11.225000,0 days 01:18:11.706000,426.0,481.0,1.0,[[-116  -77]],0.0,[],0.0
2008,2008,2008,0 days 01:20:14.700000,0 days 01:20:17.201000,0 days 01:20:16.111000,val,6.0,0.0,6.0,True,0 days 01:20:15.528000,0 days 01:20:15.809000,302.0,281.0,1.0,[[-116  -77]],0.0,[],0.0
2027,2027,2027,0 days 01:21:10.400000,0 days 01:21:13.446000,0 days 01:21:12.336000,train,6.0,0.0,6.0,True,0 days 01:21:11.062000,0 days 01:21:12.027000,309.0,965.0,1.0,[[-116  -77]],0.0,[],0.0
2141,2141,2141,0 days 01:26:54.200000,0 days 01:26:57.306000,0 days 01:26:56.149000,val,6.0,0.0,6.0,True,0 days 01:26:55.137000,0 days 01:26:55.785000,364.0,648.0,1.0,[[-116  -77]],0.0,[],0.0
2147,2147,2147,0 days 01:27:11.400000,0 days 01:27:14.191000,0 days 01:27:13.211000,train,6.0,0.0,6.0,True,0 days 01:27:12.214000,0 days 01:27:12.912000,299.0,698.0,1.0,[[-116  -77]],0.0,[],0.0
2559,2559,2559,0 days 01:47:49.900000,0 days 01:47:52.286000,0 days 01:47:51.275000,train,6.0,0.0,6.0,True,0 days 01:47:50.815000,0 days 01:47:50.930000,345.0,115.0,1.0,[[-116  -77]],0.0,[],0.0
2691,2691,2691,0 days 01:54:25.500000,0 days 01:54:27.956000,0 days 01:54:26.872000,train,6.0,0.0,6.0,True,0 days 01:54:26.180000,0 days 01:54:26.478000,394.0,298.0,1.0,[[-116  -77]],0.0,[],0.0
2747,2747,2747,0 days 01:57:14.900000,0 days 01:57:18.171000,0 days 01:57:17.099000,train,6.0,0.0,6.0,True,0 days 01:57:15.780000,0 days 01:57:16.578000,521.0,798.0,1.0,[[-116  -77]],0.0,[],0.0
2803,2803,2803,0 days 02:00:10,0 days 02:00:13.016000,0 days 02:00:11.981000,train,6.0,0.0,6.0,True,0 days 02:00:10.716000,0 days 02:00:11.514000,467.0,798.0,1.0,[[-116  -77]],0.0,[],0.0
775,775,775,0 days 00:17:59.300000,0 days 00:18:02.336000,0 days 00:18:01.298000,train,7.0,0.0,7.0,True,0 days 00:18:00.138000,0 days 00:18:01.020000,278.0,882.0,1.0,[[-9 86]],0.0,[],0.0
859,859,859,0 days 00:22:14,0 days 00:22:16.966000,0 days 00:22:15.964000,train,7.0,0.0,7.0,True,0 days 00:22:14.830000,0 days 00:22:15.629000,335.0,799.0,1.0,[[-9 86]],0.0,[],0.0
1123,1123,1123,0 days 00:35:42.500000,0 days 00:35:45.266000,0 days 00:35:44.237000,val,7.0,0.0,7.0,True,0 days 00:35:43.279000,0 days 00:35:43.978000,259.0,699.0,1.0,[[-9 86]],0.0,[],0.0
1258,1258,1258,0 days 00:42:34.500000,0 days 00:42:36.936000,0 days 00:42:35.957000,val,7.0,0.0,7.0,True,0 days 00:42:35.439000,0 days 00:42:35.687000,270.0,248.0,1.0,[[-9 86]],0.0,[],0.0
1308,1308,1308,0 days 00:45:02.700000,0 days 00:45:05.616000,0 days 00:45:04.617000,train,7.0,0.0,7.0,True,0 days 00:45:03.621000,0 days 00:45:04.286000,331.0,665.0,1.0,[[-9 86]],0.0,[],0.0
1522,1522,1522,0 days 00:55:48,0 days 00:55:50.521000,0 days 00:55:49.500000,train,7.0,0.0,7.0,True,0 days 00:55:48.943000,0 days 00:55:49.175000,325.0,232.0,1.0,[[-9 86]],0.0,[],0.0
1686,1686,1686,0 days 01:04:00.600000,0 days 01:04:02.771000,0 days 01:04:01.751000,train,7.0,0.0,7.0,True,0 days 01:04:01.381000,0 days 01:04:01.429000,322.0,48.0,1.0,[[-9 86]],0.0,[],0.0
1728,1728,1728,0 days 01:06:04.900000,0 days 01:06:07.591000,0 days 01:06:06.549000,train,7.0,0.0,7.0,True,0 days 01:06:05.815000,0 days 01:06:06.130000,419.0,315.0,1.0,[[-9 86]],0.0,[],0.0
